"ID","EXPLANATION","POOLID","QUESTION","EXPLANATION_GRAPHIC","HINT","HINT_GRAPHIC","QUESTION_GRAPHIC","STATUS","TYPE","TITLE","GRAPHIC","NEXT_QUESTION","LESSONID","IS_ENGLISH","QUESTION_GRAPHICID","HINT_GRAPHICID","EXPLANATION_GRAPHICID"
"1416319649000","<p>Abbildung: Ein Index wird in der Entwurfsansicht in den Feldeigenschaften eingestellt.</p><p>Ein Index auf ein bestimmtes Feld beschleunigt die Suche stark.</p><p>&#160;</p>","4","In einer großen Bücherdatenbank funktioniert die Suche nach Autor sehr langsam. Wie kann die Suche beschleunigt werden?","m5-index.jpg","<p>Abbildung: Ein Index wird in der Entwurfsansicht in den Feldeigenschaften eingestellt.</p><p>Ein Index auf ein bestimmtes Feld beschleunigt die Suche stark.</p>","m5-index.jpg",,"0","1","11 Index",,,"1431798256000","FALSE",,"560","560"
"1416319650000",,"4","Es gibt umfangreiche Wetterdaten (Temperaturmessungen, Windgeschwindigkeit...) in einem Gebiet. Welche Aussagen sind richtig? (3 richtig)",,"<p>Beachte den Unterschied zwischen Daten und Information!</p>",,,"0","0","16 Redundanz",,,"1431798256000","FALSE",,,
"1416319664000",,"4","Kann man das Löschen eines Datensatzes rückgängig machen?",,"",,,"0","1","08 Datensatz löschen",,,"1574189761000","FALSE",,,
"1416319665000","","4","Welches Kriterium verwendet man, um alle Einzahlungen ab einschließlich 100 EUR zu finden?",,"<p>Das Kriterium<span style=""color: #008000;""><strong> Wie ""R*""</strong></span> bewirkt, dass alle Datens&#228;tze mit einem Vornamen, der mit R <strong>beginnt</strong>, gefunden werden.</p>",,,"0","1","12 Abfrage Kriterium",,,"1574189761000","FALSE",,,
"1416319666000",,"4","Wodurch kann die Suche in einer sehr großen Tabelle am wirkungsvollsten beschleunigt werden?","m5-gueltigkeitsregel.jpg","","m5-gueltigkeitsregel.jpg",,"0","1","16 Bericht",,,"1574189761000","FALSE",,"563","563"
"1416319687000",,"4","Welches Ergebnis passt zum Kriterium ""*r*"" für das Feld Vorname?",,"",,,"0","0","02 Datensätze ausblenden - Filtern",,,"1419359927000","FALSE",,,
"1416319688000",,"4","Welche Aussagen bezüglich dieser Beziehungen ist richtig?",,"","m5_beziehungen.jpg","m5_beziehungen.jpg","0","0","07 Tabelle",,,"1419359927000","FALSE","571","571",
"1416319691000",,"4","Ein neues Vereinsmitglied wird aufgenommen. Warum werden zuerst die Daten in der Mitgliederliste eingetragen und dann erst in der Beitragsliste?",,"",,,"0","1","16 Integer",,,"1419359927000","FALSE",,,
"1416319692000",,"4","Was entspricht einer Zeile in einer Tabelle?",,"",,,"0","1","21 Kriterium",,,"1419359927000","FALSE",,,
"1416319693000",,"4","Wofür ist ein Index notwendig?",,"",,,"0","1","25 Daten",,,"1419359927000","FALSE",,,
"1416319694000",,"4","Wo legt man das Format eines Feldes fest?",,"",,,"0","1","27 Datensätze",,,"1419359927000","FALSE",,,
"1418140775000","","4","Welcher Eintrag im Feld Nachname entspricht den Regeln?",,"<p>Im Feld Nachname darf <strong>nur</strong> der Nachname stehen.</p><p>Dies erleichtert die Suche nach bestimmten Datens&#228;tzen und die Sortierung. Z. B. m&#246;chte man nach dem Nachnamen aufsteigend sortieren.</p>",,,"0","1","06 Begriffe",,,"1431798256000","FALSE",,,
"1419354885000",,"4","Was bewirkt ein Index ohne Duplikate?","m5-index.jpg","<p>Felder mit Index werden vorsortiert. Ein Index beschleunigt die Suche und das Sortieren nach bestimmten Feldern.</p><p>Ein Index ohne Duplikate verhindert doppelte Werte in einem Feld.</p><p>Abbildung: In der Entwurfsansicht einer Tabelle, in den Feldeigenschaften, wird der Index eingestellt.</p>","m5-index.jpg",,"0","0","04 Index ohne Duplikate",,,"1431798256000","FALSE",,"560","560"
"1419357261000","","4","Wie wirkt sich eine 1:n Beziehung zwischen den Tabellen A und B aus?",,"<p>Bei einer <strong style=""color: rgb(0, 128, 0);"">1:n</strong><span style=""color: rgb(0, 128, 0);""> </span>Beziehung sind einem Datensatz in der Tabelle <strong>A</strong> mehrere passende Datensätze der Tabelle <strong>B</strong> eindeutig (Primärschlüssel) zugeordnet, aber einem Datensatz der Tabelle <strong>B</strong> nie mehr als ein Datensatz der Tabelle <strong>A</strong>. </p><p>Da in der Tabelle A der Primärschlüssel der Tabelle B mehrfach auftauchen kann, heißt diese Beziehung 1:n-Beziehung.</p><p><span style=""color: rgb(0, 0, 128);"">Beispiel: Jeder/jede Schüler*in gehört zu </span><strong style=""color: rgb(0, 0, 128);"">einer</strong><span style=""color: rgb(0, 0, 128);""> bestimmten Klasse. Jede Klasse hat (theoretisch) </span><strong style=""color: rgb(0, 0, 128);"">beliebig viele</strong><span style=""color: rgb(0, 0, 128);""> Schüler*innen.</span></p>",,,"0","1","11 1:n Beziehung",,,"1574189761000","FALSE",,,
"1419359302000",,"4","Welches Ergebnis ist in folgender Abfrage möglich?",,"",,"m5_abfrage1.jpg","0","0","06 Abfrage",,,"1419359927000","FALSE","572",,
"1419359357000",,"4","Bei welchem Feld ist es sinnvoll, die Felddatentyp ""Autowert"" zuzuweisen?",,"",,,"0","1","10 Autowert",,,"1419359927000","FALSE",,,
"1419359414000",,"4","Welches Zeichen kann in Abfragen als Platzhalter verwendet werden?",,"<p>Beispiel f&#252;r einen Filter im Kriterium einer Abfrage :<br />WIE ""5*""<br />Das Ergebnis kann sein: 5466 oder 56 usw.</p>",,,"0","1","13 Wildcard",,,"1419359927000","FALSE",,,
"1419359837000",,"4","Welche Funktionen haben Beziehungen?",,"",,,"0","1","17 Beziehungen",,,"1419359927000","FALSE",,,
"1419359853000",,"4","Wo werden die Daten zu einer Person gespeichert?",,"",,,"0","1","15 Informationen",,,"1419359927000","FALSE",,,
"1419359927000",,"4","Wie lautet das Kriterium für den Ort bei folgender Abfrage: alle Kunden, die NICHT in Salzburg wohnen?",,"",,,"0","1","24 Abfrage",,,"1419359927000","FALSE",,,
"1431197421000","<p>Instant Messaging heißt so viel wie ""sofortige Nachrichtenübermittlung"" und ist eine Kommunikationsmethode, bei der sich zwei oder mehr Teilnehmer*innen per Textnachrichten in Echtzeit unterhalten (<strong>Chatten</strong>).</p><p>Mittels Instant Messaging können Dateien übermittelt werden.</p><p><strong>Achtung:</strong> Keine Dateien von unbekannten Personen annehmen, da diese Viren, Trojaner etc. enthalten können!</p><p>Wissenswertes zur Instant Messaging Anwendung WhatsApp: <a href=""http://rataufdraht.orf.at/?story=21812"" rel=""noopener noreferrer"" target=""_blank"">http://rataufdraht.orf.at/?story=21812</a></p><p>&nbsp;</p>","65","Was bedeutet Instant Messaging?",,"<p>Instant Messaging heißt so viel wie ""sofortige Nachrichtenübermittlung"" und ist eine Kommunikationsmethode, bei der sich zwei oder mehr</p><p>Teilnehmer*innen per Textnachrichten in Echtzeit unterhalten (<strong>chatten</strong>).</p><p>Mittels Instant Messaging können Dateien übermittelt werden.</p><p><strong>Achtung:</strong> Keine Dateien von unbekannten Personen annehmen, da diese Viren, Trojaner etc. enthalten können!</p><p>Beispiel für eine Instant Messaging-Anwendung: WhatsApp</p>",,,"0","0","32 Instant Messaging",,,"1605782153000","FALSE",,,
"1431333846000","","4","In welches Datenbankobjekt kann man keine Daten eingeben?",,"<p>Berichte dienen <strong>nur zur Ausgabe</strong> von Daten.</p>",,,"0","1","01 Datenbankobjekte",,,"1574189761000","FALSE",,,
"1431333850000",,"4","Welche Auswirkungen hat es, wenn auf das Datenfeld Kundennummer der Primärschlüssel gesetzt wird?","m5-primaer.jpg","<p>Der Prim&#228;rschl&#252;ssel wird eingesetzt, um jeden Datensatz der Tabelle <strong>eindeutig</strong> zu identifizieren.<br />Dazu hat das Feld mit dem Prim&#228;rschl&#252;ssel automatisch einen <strong>Index ohne Duplikate.</strong></p><p class=""western"" style=""margin-bottom: 0cm;""><span style=""font-size: small;"">Abbildung: Rechte Maustaste auf den Feldnamen. Im Kontextmen&#252; Prim&#228;rschl&#252;ssel ausw&#228;hlen.<br /></span></p>","m5-primaer.jpg",,"0","0","02 Primärschlüssel",,,"1574189761000","FALSE",,"567","567"
"1431333855000","<p>Beachte: Telefonnummern enthalten manchmal auch Leerzeichen, Bindestriche oder Abk&#252;rzungen. Daher wird nicht der Datentyp Zahl, sondern <strong><span style=""color: #008000;"">Kurzer</span></strong> <span style=""color: #008000;""><strong>Text</strong> </span>verwendet.</p>","4","Welcher Datentyp eignet sich am besten für Telefonnummern?",,"<p>Beachte: Telefonnummern enthalten manchmal auch Leerzeichen, Bindestriche oder Abk&#252;rzungen. Daher wird nicht der Datentyp Zahl, sondern <span style=""color: #008000;""><strong>Kurzer Text</strong> </span>verwendet.</p>",,,"0","1","03 Datentyp Telefon",,,"1574189761000","FALSE",,,
"1431333859000",,"4","In welchem Feld in einer Schülerliste ist die Vorgabe eines Standardwertes (Defaultwert) sinnvoll?","m5-standardwert.jpg","<p>Ein Standardwert wird f&#252;r Felder vorgegeben, die h&#228;ufig einen bestimmten gleichen Wert oder Text enthalten sollten.</p><p>Abbildung: F&#252;r das Feld ""Land"" wird als Standardwert ""&#214;sterreich"" eingegeben.</p><p>&#160;</p>","m5-standardwert.jpg",,"0","1","04 Defaultwert",,,"1574189761000","FALSE",,"568","568"
"1431333863000","<p>Access erlaubt auch das Kriterium <span style=""color: #008000;""><strong>Wie ""5*""</strong> </span>auch f&#252;r Felder vom Datentyp Zahl. </p>","4","Alle Postleitzahlen (Datentyp Text), die mit 5 beginnen, sollen angezeigt werden. Wie muss das Kriterium in der Abfrage aussehen?",,"<p>Mit dem Eintrag&#160; 5* im Kriterium des Feldes PLZ werden alle Postleitzahlen herausgefiltert, die mit 5 beginnen. Der Stern ist ein Platzhalter f&#252;r beliebig viele Zeichen nach dem 5er.</p><p>Wenn man <strong>5*</strong> eingibt, dann vervollst&#228;ndigt Access die Eingabe automatisch zu <strong>Wie ""5*""</strong></p>","m5-plz.jpg",,"0","1","05 Kriterium Abfrage",,,"1574189761000","FALSE",,"569",
"1431334023000","<p>Eine Adresse wird als eine Zeile (entspricht einem Datensatz) in einer Tabelle gespeichert.</p>","4","Welcher Begriff passt am besten zur Speicherung einer Adresse?",,"<p><strong>Datenfeld:</strong> entspricht einer Tabellen<strong>spalte</strong> z. B. PLZ</p><p><strong>Datensatz:</strong> entspricht einer Tabellen<strong>zeile</strong> z. B. eine ganze Adresse</p>",,,"0","1","06 Datensatz",,,"1574189761000","FALSE",,,
"1431334027000",,"4","Was bedeutet eine 1:1 Beziehung zwischen den Tabellen A und B?",,"<p>Bei einer 1:1-Beziehung ist <strong>einem Datensatz aus der Tabelle A</strong> genau <strong>ein Datensatz der Tabelle B</strong> zugeordnet und umgekehrt.</p><p><strong>Beispiel 1</strong>: Jedem Auto (Tabelle A) ist genau ein Kennzeichen (Tabelle B) zugeordnet. Es kann aber auch Autos ohne Kennzeichen geben.</p><p><strong>Beispiel 2</strong>: Angestellte-Tabelle mit Namen, Adressen (Tabelle A) UND Angestellte_Geheim-Tabelle mit Gehaltsangabe (Tabelle B)</p><p>1:1 Beziehungen werden selten verwendet, da man die Information gleich in eine Tabelle einfügen könnte.</p><p>Sinnvoll ist eine 1:1 Beziehung, wenn eine Tabelle aus Gründen der Zugriffsrechte in mehrere Tabellen aufgeteilt werden muss. Oder wenn es Daten gibt, die weniger wichtig sind und aus Gründen der Übersichtlichkeit besser ausgelagert werden sollten.</p><p><span style=""color: rgb(0, 0, 128);"">Beispiel: Jeder/jede Beschäftigte hat genau eine Personalakte. Umgekehrt gehört jede Personalakte zu genau einem/einer Beschäftigten.</span></p>",,,"0","1","07 1:1 Beziehung",,,"1574189761000","FALSE",,,
"1431334031000",,"4","Zwischen welchen Objekten kann es Beziehungen geben?",,"",,,"0","1","13 Beziehungen",,,"1574189761000","FALSE",,,
"1431334036000","<p>Eine Abfrage ist eine schriftlich formulierte Frage an eine Datenbank. L&#246;scht man diese Frage, werden keine Daten aus Tabellen gel&#246;scht.</p>","4","Was passiert mit den Daten, wenn man eine Abfrage löscht?",,"",,,"0","1","17 Abfrage löschen",,,"1574189761000","FALSE",,,
"1431334049000","","4","Welcher Begriff passt am besten zur Erfassung einer Postleitzahl?",,"<p>In der Datenverarbeitung werden Daten zu <strong>Datens&#228;tzen</strong> zusammengefasst. Beispiel eines Datensatzes: Herr Josef Linsinger, Moserstra&#223;e, 5020 Salzburg</p><p>Ein Datensatz besteht aus <strong>Datenfeldern</strong>. <br />Beispiel eines Datenfeldes: Josef</p><p>Datens&#228;tze werden gesammelt in <strong>Datentabellen</strong> gespeichert.<br />Beispiel einer Tabelle: Alle vorhandenen Adressen</p><p>Berichte zeigen ausgew&#228;hlte Datens&#228;tze aus einer Tabelle.<br />Beispiel: Alle Adressen aus Salzburg.</p>",,,"0","1","01 Datentyp - PLZ speichern",,,"1431798256000","FALSE",,,
"1431334053000",,"4","Welche Daten enthält eine Bibliotheksdatenbank eher nicht?",,"",,,"0","1","02 Begriffe",,,"1431798256000","FALSE",,,
"1431334056000","<p>Abbildung: In der Entwurfsansicht einer Tabelle, in den Feldeigenschaften, wird der Index eingestellt.</p><p>Felder mit Index werden vorsortiert. Ein Index beschleunigt die Suche und das Sortieren nach bestimmten Feldern.</p><p><strong>Wann sollte ein Index verwendet werden?</strong> <br />Ein Index sollte f&#252;r die Felder erstellt werden, in denen oft Werte gesucht oder sortiert werden. Eine wichtige Rolle spielen Indizes bei der Verkn&#252;pfung von Tabellen in Abfragen. <strong><span style=""color: #008000;"">Die richtige Vergabe von Indizes ist entscheidend f&#252;r die Suchgeschwindigkeit einer Abfrage.</span></strong></p>","4","Wozu dient ein Index?","m5-index.jpg","<p>Abbildung: In der Entwurfsansicht einer Tabelle, in den Feldeigenschaften, wird der Index eingestellt.</p><p>Felder mit Index werden vorsortiert. Ein Index beschleunigt die Suche und das Sortieren nach bestimmten Feldern.</p><p><strong>Wann sollte ein Index verwendet werden?</strong> <br />Ein Index sollte f&#252;r die Felder erstellt werden, in denen oft Werte gesucht oder sortiert werden. Eine wichtige Rolle spielen Indizes bei der Verkn&#252;pfung von Tabellen in Abfragen. <span style=""color: #008000;""><strong>Die richtige Vergabe von Indizes ist entscheidend f&#252;r die Suchgeschwindigkeit einer Abfrage.</strong></span></p>","m5-index.jpg",,"0","1","03 Index",,,"1431798256000","FALSE",,"560","560"
"1431334071000",,"4","Welcher Datentyp eignet sich am besten für eine Inhaltsbeschreibungen zu Büchern?","m5-memo.jpg","<p>Der Datentyp <strong>Memo</strong> bzw. <strong>Langer Text</strong> dient zur Speicherung von langen Textbl&#246;cken und Text mit Textformatierung. Ein Memo-Feld wird normalerweise f&#252;r eine detaillierte Produktbeschreibung verwendet.</p><p>Abbildung: In Access 2013 wird <strong>Memo</strong> durch <strong>Langer Text</strong> ersetzt.</p>","m5-memo.jpg",,"0","1","13 Datentyp Memo",,,"1431798256000","FALSE",,"564","564"
"1431334074000",,"4","Der/die Datenbankanwender*in soll im Feld Prozent höchstens den Wert 100 eingeben können. Wie wird dies sichergestellt?","m5-gueltigkeitsregel.jpg","<p>G&#252;ltigkeitsregeln werden in der Entwurfsansicht in den Feldeigenschaften definiert. <strong>Durch eine G&#252;ltigkeitsregel werden die Eingabem&#246;glichkeiten eingeschr&#228;nkt.</strong></p><p>Wird gegen diese Regel bei der Dateneingabe versto&#223;en, kommt eine Fehlermeldung.</p><p>Abbildung: Der Eintrag &#60;100 bewirkt, dass nur Werte kleiner 100 eingegeben werden k&#246;nnen.</p><p>Ein anderes Beispiel w&#228;re, dass im Feld Geschlecht nur die Buchstaben &#8222;m&#8220; oder &#8222;w&#8220; zugelassen werden, alle anderen Eintr&#228;ge werden nicht akzeptiert.<br />Eintrag in G&#252;ltigkeitsregel: &#8222;m&#8220; oder &#8222;w&#8220;</p>","m5-gueltigkeitsregel.jpg",,"0","1","10 Gültigkeitsregeln",,,"1431798256000","FALSE",,"563","563"
"1431334080000","","4","Welcher Eintrag im Datenfeld PLZ ist korrekt?",,"<p>Datenfelder sollten nur mit den passenden Daten befüllt werden. </p><p>So darf z. B. im Feld <strong>Ort</strong> nur der Ortsname eingetragen werden.</p>",,,"0","1","20 Dateneingabe",,,"1431798256000","FALSE",,,
"1431334084000",,"4","Wofür ist ein/eine Datenbankadministrator*in üblicherweise verantwortlich?",,"<p>Ein/eine <strong style=""color: rgb(0, 128, 0);"">Datenbankadministrator*in</strong><span style=""color: rgb(0, 128, 0);""> </span>ist für die Verwaltung eines Datenbanksystems verantwortlich.</p><p>Er/sie ist unter anderem für <strong>Entwurf</strong>, <strong>Rechtevergabe</strong>, <strong>Datensicherung</strong>, <strong>Leistungsüberwachung</strong> und <strong>Installation</strong> von Datenbanken zuständig.</p>",,,"0","0","09 Datenbankadministrator",,,"1431798256000","FALSE",,,
"1431334087000",,"4","Welcher Begriff passt am besten zur Sammlung aller Kundenadressen?",,"<p><strong>Datentabelle:</strong> Dies kann z. B. eine Sammlung von Kundenadressen sein.</p><p><strong>Datensatz:</strong> Dies kann eine Adresse eines Kunden/einer Kund*in sein.</p><p><strong>Datenfeld:</strong> Dies kann der Vorname eines Kunden/einer Kund*in sein.</p><p><strong>Datenbank:</strong> Diese beinhaltet z. B. alle Tabellen, Formulare, Berichte und Abfragen einer Kundenverwaltung.</p>",,,"0","1","08 Datentabelle",,,"1431798256000","FALSE",,,
"1431334089000",,"4","Wie kann in Access eine Tabelle als Excel-Datei exportiert werden?","m5-excel-import.jpg","<p><strong>Import und Export von Excel-Tabellen</strong></p><p>Im Register EXTERNE DATEN kann eine Excel-Kalkulationstabelle importiert werden.</p><p>Der Export geht noch einfacher: rechte Maustaste auf die Tabelle, Exportieren, Excel</p><p>&nbsp;Abbildung: Import von Excel-Tabellen</p>","m5-excel-import.jpg",,"0","1","07 Tabelle exportieren",,,"1431798256000","FALSE",,"562","562"
"1439756395000",,"65","Welche typische Eigenschaft hat ein Backdoor-Trojaner?",,"",,,"0","1","59 Backdoor-Trojaner",,,"1606222519000","FALSE",,,
"1439757333000",,"65","WPA bzw. WPA2...",,"<p>WPA bzw. WPA2 bietet ein sichere Verschl&#252;sselung f&#252;r Drahtlosnetzwerke und bietet relativ hohe Sicherheit.</p><p>Die Sicherheit ist zus&#228;tzlich&#160;abh&#228;ngig von der Passwortl&#228;nge und Komplexit&#228;t.</p>",,,"0","0","49 WPA bzw. WPA2-Verschlüsselung",,,"1605782153000","FALSE",,,
"1439796684000",,"65","Betrüger nehmen weggeworfene Kontoauszüge, Rechnungen und Briefe aus dem Altpapiercontainer mit.Wie nennt man diese illegale Informationsbeschaffung?",,"<p>Unter <strong>Information Diving</strong> versteht man den Diebstahl von Daten, die unachtsam weggeworfen wurden. In Altpapiercontainern oder auf Festplatten von ausgemusterten Rechnern liegen eventuell Daten, die missbraucht werden k&#246;nnen.</p>",,,"0","1","12 Information Diving",,,"1606165522000","FALSE",,,
"1439796748000","<p>Eine Firewall ist eine Software, die auf dem zu sch&#252;tzenden Rechner installiert ist. Sie bietet einen Schutz vor Angriffen aus dem Internet.</p><p>Alle aktuellen Betriebssysteme haben eine Firewall, die standardm&#228;&#223;ig aktiviert ist.</p>","65","Wie wird der Datenverkehr eines Computers mit dem Internet kontrolliert?","m8_firewall.jpg","<p><span style=""color: #808080;"">Bild: Windows Firewall</span></p><p>Eine aktive <span style=""color: #008000;""><strong>Firewall</strong></span> kontrolliert den ausgehenden und eingehenden Netzwerkverkehr</p>","m8_firewall (copy 1).jpg",,"0","1","13 Firewall",,,"1606165522000","FALSE",,"606","598"
"1439803048000","<p>Ein <span style=""color: #008000;""><strong>Rootkit</strong> </span>ist ein Programm, das Malware so im Betriebssystem versteckt, dass Antivirenprogramme sie nicht entdecken.</p><p>Artikel von Heise: <a href=""http://www.zeit.de/digital/datenschutz/2014-02/trojaner-ios"">http://www.zeit.de/digital/datenschutz/2014-02/trojaner-ios</a></p>","65","Eine Software hat das Betriebssystem so manipuliert, dass der Benutzer/ die Benutzer*in und auch Antiviren-Programme Malware nicht mehr entdecken können. Wie nennt man ein derartiges Programm?",,"<p>Ein <strong style=""color: rgb(0, 128, 0);"">Rootkit</strong><span style=""color: rgb(0, 128, 0);""> </span>ist ein Programm, das Malware so im Betriebssystem versteckt, dass Antiviren-Programme sie nicht entdecken.</p>",,,"0","1","14 Rootkit",,,"1606165522000","FALSE",,,
"1439808942000",,"65","Wer von den Personen verhält sich richtig, um seine persönlichen Daten zu schützen?",,"",,,"0","0","40 Schutz von persönlichen Daten",,,"1606222519000","FALSE",,,
"1439819721000",,"97","Was erfordert Online-Zusammenarbeit von den Teilnehmenden?",,"",,,"0","1","18 Medienkompetenz",,,"1606934959000","FALSE",,,
"1439819836000","<p>Beispiel für ein Plug-in</p><p>Firmen verwenden das Programm Hangout von Google+, mit dem Webkonferenzen organisiert werden können.</p><p>Um an einem Hangout teilnehmen zu können, ist eine Anmeldung bei Google und die Installation einer Erweiterung (Plug-in) notwendig.</p>","97","Was ist ein Plug-in?",,"",,,"0","1","19 Plugin",,,"1606934959000","FALSE",,,
